time_msec,throughput,current_buffer,current_playing_segment
41509,220.557,14.87,20
41636,184.381,14.75,20
41791,150.857,14.59,20
41932,165.943,14.45,20
42058,184.381,14.33,20
42199,164.766,14.18,20
42340,165.943,14.04,20
42498,84.339,15.899,21
42657,147.038,15.75,21
42814,147.975,15.59,21
42973,147.038,15.43,21
43130,147.975,15.27,21
43288,147.975,15.109,21
43407,145.815,15,21
43539,82.9333,16.87,21
43695,223.385,16.711,21
43851,148.923,16.551,21
44006,149.884,16.401,21
44162,149.884,16.241,21
44339,84.339,18.059,21
44497,147.038,17.92,22
44650,152.842,17.76,22
44805,224.826,17.611,22
44959,151.843,17.451,22
45113,150.857,17.3,22
45275,144.298,17.141,22
45517,62.5912,18.901,22
45659,163.606,18.75,22
45833,134.289,18.58,22
45983,232.32,18.43,22
46139,148.923,18.27,22
46294,149.884,18.12,22
46441,159.123,17.98,23
46617,132,17.801,23
46746,180.062,17.68,23
46925,59.9518,19.5,23
47089,212.488,19.33,23
47236,159.123,19.191,23
47393,147.975,19.03,23
47551,147.975,18.87,23
47672,193.6,18.751,23
47781,213.138,18.641,23
47933,152.842,18.49,23
48084,153.854,18.34,23
48235,232.32,18.191,23
48434,87.2982,20,24
48582,156.973,19.85,24
48731,156.973,19.701,24
48882,154.88,19.551,24
49031,155.919,19.4,24
49179,156.973,19.251,24
49328,155.919,19.101,24
49484,224.826,18.951,24
49637,152.842,18.801,24
49785,156.973,18.651,24
49933,156.973,18.5,24
50079,160.221,18.351,24
50227,158.041,18.212,24
50374,159.123,18.061,24
50518,242,17.93,25
50667,156.973,17.781,25
50811,161.333,17.64,25
50956,161.333,17.5,25
51097,165.943,17.359,25
51248,153.854,17.2,25
51409,79.616,19.039,25
51554,240.331,18.9,25
51696,164.766,18.76,25
51827,177.344,18.62,25
51972,161.333,18.48,25
52115,162.462,18.341,25
52259,162.462,18.19,25
52403,161.333,18.05,25
52546,162.462,17.92,26
52694,158.041,17.77,26
52833,250.705,17.631,26
52978,161.333,17.481,26
53124,90.4727,19.341,26
53267,163.606,19.2,26
53408,164.766,19.051,26
53551,163.606,18.911,26
53693,164.766,18.771,26
53834,164.766,18.631,26
53976,247.149,18.491,26
54118,164.766,18.351,26
54239,90.4727,20.221,26
54380,165.943,20.081,26
54522,163.606,19.96,27
54663,165.943,19.82,27
54803,165.943,19.68,27
54945,164.766,19.54,27
55085,250.705,19.4,27
55225,165.943,19.26,27
55365,165.943,19.121,27
55506,164.766,18.98,27
55643,166.235,18.84,27
55774,82.8667,20.71,27
55916,163.606,20.57,27
56043,182.929,20.44,27
56181,254.365,20.301,27
56329,156.973,20.15,27
56458,181.5,20.021,27
56596,169.577,19.9,28
56734,169.577,19.76,28
56872,168.348,19.621,28
57010,169.577,19.479,28
57147,169.577,19.35,28
57286,167.137,19.21,28
57426,250.705,19.07,28
57559,176,18.93,28
57696,169.577,18.8,28
57830,173.373,18.66,28
57967,170.824,18.53,28
58103,170.824,18.391,28
58241,169.577,18.251,28
58376,172.089,18.12,28
58511,260.06,17.99,29
58646,172.089,17.861,29
58782,172.089,17.72,29
58917,172.089,17.59,29
59114,88,19.39,29
59243,180.093,19.261,29
59377,173.373,19.121,29
59539,144.298,18.961,29
59664,278.784,18.841,29
59798,174.677,18.7,29
59922,188.878,18.58,29
60064,163.606,18.441,29
60199,173.373,18.3,29
60332,174.677,18.17,29
60461,180.093,18.041,29
60594,174.677,17.93,30
60732,254.365,17.79,30
60864,177.344,17.66,30
60996,177.344,17.529,30
61123,184.381,17.4,30
61263,165.943,17.26,30
61399,172.089,17.12,30
61526,182.929,17,30
61660,174.677,16.86,30
61783,188.878,16.74,30
61924,247.149,16.6,30
62056,177.344,16.47,30
62185,180.093,16.341,30
62307,192,16.22,30
62448,165.943,16.07,30
62579,177.344,15.95,31
62692,205.593,15.84,31
62823,178.708,15.711,31
62954,178.708,15.581,31
63070,94.7048,17.461,31
63199,181.5,17.33,31
63332,174.677,17.2,31
63460,182.929,17.07,31
63589,180.093,16.941,31
63718,180.093,16.811,31
63848,180.093,16.681,31
63978,178.708,16.551,31
64107,272.25,16.431,31
64236,180.093,16.3,31
64364,181.5,16.171,31
64492,182.929,16.041,31
64620,181.5,15.931,32
64749,180.093,15.8,32
64877,182.929,15.68,32
65005,182.929,15.551,32
65135,178.708,15.421,32
65262,184.381,15.291,32
65389,274.394,15.161,32
65516,184.381,15.041,32
65643,182.929,14.911,32
65778,173.373,14.78,32
65897,195.227,14.661,32
66024,184.381,14.53,32
66152,181.5,14.401,32
66278,185.856,14.271,32
66404,276.571,14.151,32
66533,181.5,14.02,32
66655,190.426,13.921,33
66781,184.381,13.791,33
66907,185.856,13.671,33
67012,186.286,13.561,33
67126,97.5686,15.451,33
67252,185.856,15.321,33
67378,184.381,15.191,33
67504,184.381,15.071,33
67628,281.032,14.941,33
